radius,radius_within,avg_visits_per_cell
30,1,1
30,2,1
30,3,1.27586
30,4,1.4898
30,5,1.79012
30,6,1.88496
30,7,2.07383
30,8,2.21827
30,9,2.35968
30,10,2.48896
30,11,2.55968
30,12,2.56009
30,13,2.52741
30,14,2.50082
30,15,2.44429
30,16,2.39523
30,17,2.34073
30,18,2.28444
30,19,2.22941
30,20,2.18377
30,21,2.1362
30,22,2.08108
30,23,2.03085
30,24,1.9816
30,25,1.9383
30,26,1.88826
30,27,1.83879
30,28,1.80391
30,29,1.76075
30,30,1.71606
